SEQN,RIAGENDR,RIDAGEYR,RIDRETH3,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDFMPIR
97849,1,5,3,34010.98752,45128.85255,1,137,1.67
97850,2,64,2,18477.98154,20648.32335,2,146,NA
97851,1,23,4,18818.22087,18131.23092,1,147,NA
97852,2,11,7,9815.493751,10483.98604,1,141,NA
97853,2,20,6,16241.91012,17885.16094,2,144,1.35
97854,1,0,1,7881.851198,8258.848061,1,144,0.87
97855,1,9,3,18920.29771,20378.1976,1,142,1.49
97856,1,6,3,47007.11933,50535.56237,2,141,3.74
97857,1,0,3,11182.25089,10656.47963,1,135,3.28
97858,1,27,6,19216.95099,0,2,138,NA
97859,1,60,6,11367.90122,11634.35384,2,141,NA
97860,1,3,3,18157.92982,18559.01225,2,139,1.7
97861,2,47,3,23751.97422,23714.04676,1,142,NA
97862,1,19,4,15792.55179,16653.6111,1,146,0.66
97863,1,13,3,20216.38065,20242.13872,1,146,1.22
97864,1,37,4,21608.48944,0,2,140,5
97865,1,10,3,15896.11601,16731.14265,1,146,1.22
97866,1,39,3,152439.7931,153632.1508,2,143,4.22
97867,2,6,3,17806.88755,22165.22882,1,135,1.23
97868,1,26,3,180082.4654,0,2,137,2.07
97869,2,80,3,34713.28569,39007.65761,2,141,2.55
97870,2,8,4,13781.27766,14162.92479,1,144,0.18
97871,2,64,2,20069.51165,21925.14604,1,148,5
97872,1,2,3,28420.75289,0,2,142,NA
97873,1,18,3,62743.26819,0,1,142,5
97874,2,55,3,237018.7869,282045.6685,2,134,NA
97875,2,7,2,14470.8782,14308.21736,2,144,0.65
97876,1,58,3,12998.4174,12849.99504,2,144,NA
97877,2,29,4,31739.3989,32891.37355,1,139,0
97878,2,49,4,8941.099433,8940.537569,2,148,4.07
97879,2,4,7,7143.685787,8349.14692,2,141,5
97880,1,0,4,6736.621963,8947.228197,1,139,1.82
97881,1,13,3,45399.62589,45797.71418,1,146,1.82
97882,2,18,1,35354.20721,37520.54354,2,140,5
97883,2,71,3,37017.48186,51535.04829,2,139,4.56
97884,1,3,4,7903.775217,8688.027436,2,148,0.2
97885,1,0,7,11009.37405,11008.3211,2,135,NA
97886,2,54,6,20741.96983,26550.05762,2,134,3.48
97887,2,80,4,20859.45744,0,2,145,1.28
97888,1,0,3,20593.99443,21604.7273,2,144,2.79
97889,1,10,3,48139.56847,51799.42717,2,138,5
97890,2,11,1,24047.19557,28301.05617,2,141,1.59
97891,1,69,6,10923.01638,11037.0312,1,141,5
97892,2,15,4,25464.04095,27351.22269,2,143,3.4
97893,1,63,4,10756.11624,0,2,142,5
97894,2,67,2,17145.30053,18661.57139,1,134,1.16
97895,1,63,3,217513.2906,239578.4604,1,143,NA
97896,2,57,7,83404.95098,93213.70039,1,145,2.03
97897,1,58,6,21506.80543,24182.1577,2,134,NA
97898,1,11,3,114931.8185,125775.7263,1,139,5
97899,1,29,4,33546.98868,33502.54495,2,144,3.29
97900,1,1,3,12675.39168,13102.52895,2,139,0.15
97901,1,45,3,21512.54129,21088.42153,2,144,1.77
97902,1,62,2,5598.586089,5994.976217,2,141,0.56
97903,2,78,3,82090.04433,92913.17803,2,135,3.4
97904,1,34,4,30765.68868,40425.4927,1,144,2.53
97905,2,64,4,10453.54018,11206.87404,2,146,3.14
97906,1,7,4,13305.195,14431.13874,1,134,4.86
97907,1,0,3,16113.4336,15359.08231,1,139,2.85
97908,1,62,3,24614.28003,25740.16525,2,136,1.68
97909,2,45,6,17871.44498,18503.52489,2,135,4.33
97910,1,12,3,103017.0125,122868.7728,2,147,2.89
97911,2,10,4,11506.98472,11846.84654,1,144,1.62
97912,1,2,2,19427.76016,20426.56921,2,134,2.29
97913,1,37,2,69921.80677,0,2,136,1.79
97914,2,6,4,19689.57555,21103.33579,2,143,3.4
97915,2,42,1,23278.40867,24557.52951,1,148,0.45
97916,2,73,3,75851.53786,85852.15782,1,143,NA
97917,2,0,3,18060.86182,19175.72812,2,135,0
97918,2,18,6,15892.19673,18078.03622,1,141,2.03
97919,2,70,4,11310.46079,11836.37268,1,144,0.31
97920,2,0,3,13125.07269,13370.06724,2,147,2.73
97921,2,6,3,31216.98698,33568.58474,1,146,1.82
97922,1,9,1,42658.95378,45027.16354,2,144,1.29
97923,2,43,3,83086.20811,95237.10891,2,146,0.79
97924,1,41,3,335560.5476,332785.8662,2,137,5
97925,2,14,3,107479.3345,112660.5127,1,134,5
97926,1,80,3,7311.11586,8524.895313,1,142,2.92
97927,2,10,2,10436.95396,10319.63671,2,141,1.1
97928,1,56,1,41126.32338,44702.66562,1,148,5
97929,2,76,3,47589.11841,53510.59692,1,146,1.34
97930,1,32,7,25278.47968,31445.67836,2,138,4.78
97931,2,16,1,25678.82703,27871.0698,2,137,1.87
97932,2,80,1,10961.90993,0,2,142,0.72
97933,1,14,1,11014.27839,11232.28674,2,136,3.85
97934,1,25,3,217138.9677,284008.3863,2,134,5
97935,1,22,2,37486.19683,41944.23432,2,144,NA
97936,2,64,6,16565.66474,0,1,134,5
97937,2,61,6,14139.25825,16134.58751,2,134,4.25
97938,1,35,4,17834.12828,18829.21551,2,144,2.49
97939,2,1,3,29283.34705,32743.06043,1,141,1.22
97940,1,29,6,29740.25681,39663.95743,2,146,5
97941,2,28,1,45855.6032,45504.82468,2,140,4.34
97942,2,2,3,18593.8066,0,1,147,3.13
97943,2,19,3,37597.98403,44171.0799,2,143,1.61
97944,2,63,3,158441.8795,164921.1447,1,134,3.69
97945,2,28,1,7409.411401,7618.018039,2,135,2.19
97946,2,34,3,77327.15906,76090.84417,2,141,2.59
97947,2,80,3,57270.43854,64893.45465,1,137,NA
97948,2,32,3,49174.95763,47808.94341,2,139,2.59
97949,2,30,3,91892.27954,95942.45143,1,144,3.45
97950,2,69,4,13597.17145,13571.08011,2,146,2.22
97951,2,24,6,24451.74616,24758.4168,2,138,5
97952,1,57,6,9484.030816,9494.206985,1,141,5
97953,2,7,7,10601.05574,10474.80629,1,145,2.87
97954,2,67,1,5352.655827,5701.739528,2,141,0.78
97955,1,65,3,237045.497,237953.7553,1,135,1.45
97956,1,80,3,29914.49826,34713.60065,2,142,1.81
97957,1,0,3,10500.7235,10929.94771,2,139,2.26
